id,postal,unmatched_postcode,web,age,date,day_of_week,postcode,sex,household_size,occupation,total_contacts
212,1,0,0,75,29/05/2009,1,LS20 8BE,0,2,home,10
213,1,0,0,45,29/05/2009,1,LS7 2NN,0,4,teaching,47
214,1,0,0,28,29/05/2009,1,LS27 0RP,0,2,service,16
215,1,0,0,55,29/05/2009,1,HG4 5BN,0,2,office,114
216,1,0,0,60,29/05/2009,1,LS24 9DD,0,1,retired,7
217,1,0,0,36,29/05/2009,1,LS22 6AA,0,5,home,5
218,1,0,0,74,29/05/2009,1,S41 9NN,0,1,retired,29
219,1,0,0,65,29/05/2009,1,WF4 2PE,1,2,retired,23
220,1,0,0,45,29/05/2009,1,-,0,1,retired,18
221,1,0,0,50,29/05/2009,1,NG12 5AQ,0,2,health,23
222,1,0,0,75,29/05/2009,1,LS16 6JW,0,1,retired,11
223,1,0,0,86,29/05/2009,1,BD15 9BX,1,2,retired,1
224,1,0,0,42,29/05/2009,1,BD22 7NT,0,2,public,17
225,1,0,0,70,29/05/2009,1,HD4 5TY,0,2,retired,2
226,1,0,0,71,29/05/2009,1,NG21 0SW,1,2,health,5
227,1,0,0,61,29/05/2009,1,HD6 3PD,1,1,office,23
228,1,0,0,64,29/05/2009,1,S5 9NP,0,1,office,8
229,1,0,0,36,29/05/2009,1,BD20 5AN,0,1,office,12
230,1,0,0,53,29/05/2009,1,NG16 2QT,0,2,health,5
231,1,0,0,53,29/05/2009,1,LN6 8DP,0,3,health,79
232,1,0,0,52,29/05/2009,1,LN11 8JD,0,1,health,35
233,1,0,0,59,29/05/2009,1,DN14 7ST,1,2,public,29
234,1,0,0,35,29/05/2009,1,DN3 1RP,0,5,home,43
235,1,0,0,15,29/05/2009,1,DN11 9RW,0,4,schoolchild,84
236,1,0,0,94,29/05/2009,1,DN11 9RW,0,2,retired,8
237,1,0,0,60,29/05/2009,1,LS27 9ED,1,1,office,12
238,1,0,0,65,29/05/2009,1,DE13 0RB,1,2,service,30
239,1,0,0,25,29/05/2009,1,DE23 1RF,0,3,home,12
240,1,0,0,56,29/05/2009,1,DE4 4FS,0,2,teaching,66
241,1,0,0,60,29/05/2009,1,DE3 9AX,1,2,service,16
242,1,0,0,93,29/05/2009,1,NN11 3AS,1,2,retired,2
243,1,0,0,80,29/05/2009,1,NN6 0DU,1,2,retired,36
244,1,0,0,76,29/05/2009,1,NN2 8HN,0,1,retired,13
245,1,0,0,-1,29/05/2009,1,-,-1,-1,unknown,80
246,1,0,0,72,29/05/2009,1,BD11 1HN,0,2,retired,1
247,1,0,0,68,29/05/2009,2,S72 0JG,0,2,retired,10
248,1,0,0,67,29/05/2009,2,WS15 3QJ,1,3,retired,10
249,1,0,0,71,29/05/2009,2,GY5 7XE,0,1,retired,10
250,1,0,0,58,29/05/2009,2,PE19 8QL,1,1,unknown,12
251,1,0,0,78,29/05/2009,2,IP27 9DF,1,2,retired,9
252,1,0,0,35,29/05/2009,2,SG12 0ER,0,1,office,14
253,1,0,0,-1,29/05/2009,2,-,-1,-1,unknown,3
254,1,0,0,50,29/05/2009,2,OX13 5LA,0,3,office,21
255,1,0,0,30,29/05/2009,2,MK12 6JB,0,4,labour,14
256,1,0,0,39,29/05/2009,2,MK41 0DP,1,2,office,3
257,1,0,0,43,29/05/2009,2,B98 0NB,1,3,labour,28
258,1,0,0,73,29/05/2009,2,B11 3DE,1,5,retired,18
259,1,0,0,57,29/05/2009,2,B68 8ED,1,4,mechanic,40
260,1,0,0,-1,29/05/2009,2,-,-1,-1,unknown,9
261,1,0,0,42,29/05/2009,2,B20 3LH,1,1,student,12
262,1,0,0,62,29/05/2009,2,WS1 2NU,1,2,retired,9
263,1,0,0,97,29/05/2009,2,DY10 4TB,0,1,retired,2
264,1,0,0,59,29/05/2009,2,ST3 5PA,0,2,home,6
265,1,0,0,85,29/05/2009,2,WS4 1DW,1,1,retired,14
266,1,0,0,28,29/05/2009,2,WV14 8TH,0,4,student,10
267,1,0,0,36,29/05/2009,2,ST6 4DJ,1,1,unknown,1
